,Цена,Бренд,Тип наушников,"Минимальная воспроизводимая частота, Гц","Максимальная воспроизводимая частота, кГц",Цвет,Вид наушников,Тип акустического оформления,Чехол/футляр в комплекте,"Вес, г","Гарантия, мес","Срок службы, мес",Страна производства,Встроенный микрофон,Быстрая зарядка,Беспроводная зарядка,Складная конструкция
58,349900.0,other,проводные,33.0,30.0,не указано,полноразмерные,открытые,да,425.0,60.0,72.0,other,нет,нет,нет,нет
60,23800.0,other,беспроводные,20.0,20.0,не указано,накладные,открытые,нет,33.0,12.0,24.0,Китай,да,да,нет,нет
61,36430.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
62,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
63,27090.0,other,проводные,40.0,5.0,не указано,вставные,закрытые,да,20.0,12.0,24.0,Китай,нет,нет,нет,нет
65,1790.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
66,4190.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,9.5,12.0,24.0,Китай,да,нет,нет,нет
67,780000.0,other,проводные,5.0,54.0,не указано,полноразмерные,открытые,да,530.0,12.0,24.0,не указано,нет,нет,нет,нет
69,40990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
70,6190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,18.0,12.0,24.0,не указано,да,да,да,нет
71,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
72,39990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,307.0,12.0,24.0,other,да,да,нет,да
73,7490.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,246.0,12.0,24.0,Китай,да,да,нет,да
75,44000.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,309.0,12.0,24.0,other,да,да,нет,да
77,18990.0,other,проводные,20.0,22.0,other,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
79,9990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,14.0,12.0,24.0,Китай,да,да,нет,нет
80,26990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
81,24990.0,other,проводные,20.0,16.0,черный,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
82,129990.0,other,проводные,50.0,5.0,не указано,вставные,закрытые,да,5.5,12.0,24.0,Китай,нет,нет,нет,нет
83,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
84,154990.0,other,проводные,10.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
85,179990.0,other,проводные,5.0,50.0,не указано,полноразмерные,закрытые,да,360.0,12.0,24.0,не указано,нет,нет,нет,нет
86,3490.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,10.0,12.0,24.0,Китай,да,нет,нет,нет
87,5990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,220.0,12.0,24.0,не указано,да,да,нет,да
88,79990.0,other,проводные,20.0,23.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
89,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.5,12.0,24.0,не указано,да,да,да,нет
96,7990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,48.0,12.0,24.0,не указано,да,да,да,нет
97,32490.0,other,беспроводные,20.0,20.0,черный,вставные,полуоткрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
98,5690.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,36.0,12.0,24.0,other,да,да,нет,нет
99,275000.0,other,проводные,10.0,50.0,не указано,полноразмерные,открытые,да,635.0,12.0,24.0,не указано,нет,нет,нет,нет
100,34990.0,other,проводные,20.0,40.0,other,полноразмерные,открытые,да,318.0,12.0,24.0,Китай,нет,нет,нет,нет
101,79990.0,other,беспроводные,15.0,22.0,не указано,полноразмерные,закрытые,да,350.0,12.0,24.0,other,да,да,нет,да
102,6090.0,other,проводные,15.0,25.0,черный,накладные,закрытые,нет,79.0,12.0,24.0,Китай,нет,нет,нет,да
103,7990.0,other,беспроводные,20.0,20.0,other,накладные,открытые,да,10.0,12.0,24.0,Китай,да,нет,нет,нет
105,1190.0,other,проводные,20.0,40.0,черный,вставные,закрытые,нет,4.0,2.0,24.0,Китай,да,нет,нет,нет
106,49990.0,other,проводные,5.0,40.0,не указано,полноразмерные,закрытые,да,385.0,12.0,24.0,не указано,нет,нет,нет,да
107,5890.0,other,беспроводные,20.0,40.0,черный,полноразмерные,закрытые,нет,250.0,12.0,24.0,Китай,да,да,нет,нет
111,189900.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,США,нет,нет,нет,нет
112,3190.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,12.0,12.0,24.0,Китай,да,да,нет,нет
113,7990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
114,2790.0,other,проводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,нет,нет,нет
116,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
117,31490.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
118,3490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,40.0,12.0,24.0,не указано,да,нет,нет,нет
119,32990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
120,79990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,384.0,12.0,24.0,США,да,да,нет,да
121,299990.0,other,проводные,20.0,70.0,черный,вставные,закрытые,да,10.0,12.0,24.0,США,нет,нет,нет,нет
123,22850.0,other,беспроводные,15.0,28.0,черный,полноразмерные,закрытые,да,307.0,12.0,24.0,не указано,да,да,нет,да
124,89990.0,other,проводные,5.0,50.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
125,7990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
126,24790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
128,2890.0,other,проводные,20.0,40.0,не указано,полноразмерные,закрытые,да,232.0,12.0,24.0,Китай,нет,нет,нет,нет
129,7990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
131,74990.0,other,проводные,5.0,55.0,не указано,полноразмерные,закрытые,нет,385.0,12.0,24.0,other,нет,нет,нет,нет
133,49790.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,да,240.0,12.0,24.0,США,да,да,нет,да
134,17990.0,other,проводные,10.0,28.0,черный,полноразмерные,закрытые,нет,300.0,24.0,36.0,не указано,да,нет,нет,нет
135,33390.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
136,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
138,229990.0,other,проводные,20.0,20.0,черный,полноразмерные,открытые,да,290.0,24.0,36.0,США,нет,нет,нет,нет
139,2990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,35.0,12.0,24.0,не указано,да,нет,нет,нет
140,59990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,36.0,12.0,24.0,other,нет,нет,нет,нет
142,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
143,64990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,да,нет,нет
144,27390.0,other,проводные,10.0,50.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
145,9990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,760.0,12.0,24.0,other,да,нет,нет,да
146,6490.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,250.0,12.0,24.0,Китай,да,нет,нет,нет
147,5690.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,36.0,12.0,24.0,other,да,да,нет,нет
148,8450.0,other,беспроводные,20.0,20.0,other,накладные,открытые,да,11.0,12.0,24.0,Китай,да,да,нет,нет
151,18990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,6.4,12.0,24.0,Китай,да,нет,нет,нет
