,Цена,Бренд,Тип наушников,"Минимальная воспроизводимая частота, Гц","Максимальная воспроизводимая частота, кГц",Цвет,Вид наушников,Тип акустического оформления,Чехол/футляр в комплекте,"Вес, г","Гарантия, мес","Срок службы, мес",Страна производства,Встроенный микрофон,Быстрая зарядка,Беспроводная зарядка,Складная конструкция
268,17290.0,other,проводные,20.0,40.0,other,вставные,полуоткрытые,да,19.0,6.0,12.0,Китай,нет,нет,нет,нет
269,4190.0,other,проводные,10.0,50.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
270,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
272,39990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,нет,да,нет
273,10650.0,other,беспроводные,20.0,20.0,other,накладные,открытые,нет,31.5,12.0,24.0,Китай,да,да,нет,нет
274,698000.0,other,проводные,20.0,40.0,черный,полноразмерные,открытые,да,470.0,12.0,24.0,не указано,нет,нет,нет,нет
275,54990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,17.0,12.0,24.0,other,нет,нет,нет,нет
276,25790.0,other,проводные,5.0,40.0,черный,вставные,полуоткрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
277,89990.0,other,проводные,20.0,20.0,не указано,полноразмерные,закрытые,да,328.0,24.0,36.0,США,нет,нет,нет,да
278,2490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
279,30390.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,нет,328.0,12.0,24.0,Китай,нет,нет,нет,нет
280,8490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,4.0,12.0,24.0,Китай,да,да,нет,нет
282,40290.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
283,3490.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,нет,157.0,12.0,24.0,не указано,да,да,нет,да
285,14190.0,other,беспроводные,20.0,40.0,черный,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,нет,нет
286,23490.0,other,беспроводные,20.0,20.0,черный,полноразмерные,открытые,да,360.0,12.0,24.0,Китай,нет,нет,нет,нет
287,240000.0,other,проводные,5.0,50.0,черный,полноразмерные,открытые,да,495.0,12.0,24.0,не указано,нет,нет,нет,нет
288,13490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,нет,нет
289,5990.0,other,проводные,20.0,22.0,черный,полноразмерные,закрытые,нет,210.0,12.0,24.0,не указано,нет,нет,нет,нет
290,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
291,6490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,31.0,12.0,24.0,Китай,да,да,нет,нет
294,24490.0,other,беспроводные,15.0,28.0,other,полноразмерные,закрытые,да,307.0,12.0,24.0,не указано,да,да,нет,да
295,21990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,8.6,12.0,24.0,other,да,да,да,нет
296,39990.0,other,проводные,5.0,40.0,черный,полноразмерные,закрытые,нет,314.0,12.0,24.0,other,нет,нет,нет,нет
297,2190.0,other,проводные,10.0,28.0,черный,полноразмерные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
298,6990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,259.0,12.0,24.0,Китай,да,да,нет,да
299,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,да,да,нет
300,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.5,12.0,24.0,не указано,да,да,да,нет
302,399990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
303,16990.0,other,беспроводные,20.0,20.0,черный,вставные,полуоткрытые,да,7.0,12.0,24.0,США,да,да,нет,нет
304,34490.0,other,беспроводные,6.0,22.0,не указано,полноразмерные,закрытые,да,293.0,24.0,36.0,Китай,да,да,нет,нет
305,17990.0,other,беспроводные,20.0,20.0,other,накладные,открытые,да,10.0,12.0,24.0,США,да,нет,нет,нет
306,12790.0,other,беспроводные,5.0,32.0,черный,полноразмерные,закрытые,нет,216.0,12.0,24.0,не указано,да,да,нет,нет
307,9990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
308,9290.0,other,проводные,5.0,40.0,черный,вставные,открытые,да,30.0,12.0,24.0,Китай,нет,нет,нет,нет
311,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
312,3490.0,other,проводные,20.0,20.0,белый,вставные,закрытые,да,7.0,12.0,24.0,Китай,да,нет,нет,нет
314,17990.0,other,беспроводные,5.0,20.0,не указано,полноразмерные,закрытые,да,255.0,12.0,24.0,Китай,да,да,нет,да
315,5990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,34.0,12.0,24.0,не указано,да,да,да,нет
316,13990.0,other,беспроводные,20.0,20.0,other,накладные,открытые,да,35.0,12.0,24.0,Китай,да,да,нет,нет
317,389990.0,other,проводные,20.0,40.0,не указано,вставные,закрытые,да,15.0,12.0,24.0,США,нет,нет,нет,нет
319,24990.0,other,проводные,8.0,30.0,черный,накладные,закрытые,да,251.0,12.0,24.0,не указано,нет,нет,нет,да
321,790.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,14.0,12.0,24.0,не указано,да,нет,нет,нет
322,10990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,5.0,12.0,24.0,Китай,да,да,нет,нет
325,790.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,нет,14.0,12.0,24.0,Китай,да,нет,нет,нет
326,9990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,300.0,12.0,24.0,Китай,да,да,нет,да
327,11590.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,4.0,12.0,24.0,Китай,да,да,нет,нет
328,89990.0,other,проводные,20.0,20.0,не указано,полноразмерные,открытые,да,328.0,24.0,36.0,США,нет,нет,нет,да
331,8990.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,нет,245.0,12.0,24.0,other,да,нет,нет,нет
332,22790.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,да,нет,нет
333,5490.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,10.0,12.0,24.0,Китай,нет,нет,нет,нет
336,7490.0,other,проводные,15.0,22.0,черный,полноразмерные,закрытые,нет,300.0,12.0,24.0,Китай,нет,нет,нет,нет
337,499990.0,other,проводные,20.0,20.0,не указано,полноразмерные,закрытые,да,523.0,12.0,24.0,other,нет,нет,нет,нет
338,1590.0,other,проводные,5.0,45.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
339,12990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,нет,нет,нет
342,293680.0,other,проводные,10.0,70.0,не указано,вставные,закрытые,да,12.0,12.0,24.0,США,нет,нет,нет,нет
343,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
344,224990.0,other,проводные,5.0,42.0,не указано,полноразмерные,закрытые,нет,395.0,12.0,24.0,не указано,нет,нет,нет,нет
345,21690.0,other,проводные,10.0,40.0,черный,вставные,полуоткрытые,да,8.8,12.0,24.0,Китай,нет,нет,нет,нет
347,8090.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
348,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
349,89990.0,other,проводные,20.0,34.0,черный,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
350,6690.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,92.0,12.0,24.0,Китай,нет,нет,нет,нет
352,5990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,250.0,12.0,24.0,Китай,да,да,нет,нет
353,299990.0,other,проводные,10.0,70.0,не указано,вставные,закрытые,да,12.0,12.0,24.0,США,нет,нет,нет,нет
354,30190.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
355,7990.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,да,910.0,12.0,24.0,other,да,нет,нет,нет
356,89000.0,other,проводные,5.0,50.0,черный,вставные,закрытые,да,14.0,12.0,24.0,Китай,нет,нет,нет,нет
357,2690.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
358,8590.0,other,беспроводные,20.0,20.0,не указано,накладные,открытые,нет,30.0,12.0,24.0,Китай,да,да,нет,да
359,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
360,43990.0,other,проводные,20.0,40.0,черный,вставные,закрытые,да,13.0,12.0,24.0,не указано,нет,нет,нет,нет
361,169900.0,other,"проводные, беспроводные",10.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,other,да,да,нет,да
362,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
363,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
364,1790.0,other,проводные,20.0,40.0,other,вставные,закрытые,нет,14.3,12.0,24.0,Китай,да,нет,нет,нет
365,4290.0,other,беспроводные,20.0,20.0,черный,накладные,открытые,да,33.0,12.0,24.0,не указано,да,нет,нет,нет
366,984630.0,other,проводные,5.0,42.0,не указано,полноразмерные,открытые,да,432.0,12.0,24.0,не указано,нет,нет,нет,нет
367,3990.0,other,проводные,15.0,25.0,черный,накладные,открытые,нет,62.0,12.0,24.0,Китай,нет,нет,нет,да
368,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
369,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
370,12490.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
371,332990.0,other,проводные,5.0,50.0,черный,полноразмерные,открытые,да,270.0,12.0,24.0,не указано,нет,нет,нет,нет
372,9390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,38.0,12.0,24.0,Китай,да,да,нет,нет
373,1890.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,7.0,12.0,24.0,Китай,да,нет,нет,нет
374,4590.0,other,проводные,10.0,40.0,черный,полноразмерные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,да
375,12290.0,other,проводные,15.0,35.0,черный,полноразмерные,открытые,нет,315.0,12.0,24.0,не указано,нет,нет,нет,нет
376,154990.0,other,проводные,8.0,28.0,не указано,вставные,закрытые,нет,0.0,12.0,24.0,США,нет,нет,нет,нет
377,30000.0,other,проводные,19.0,21.0,черный,вставные,закрытые,да,5.0,12.0,24.0,не указано,нет,нет,нет,нет
378,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
379,5590.0,other,проводные,20.0,40.0,черный,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
380,2980.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,3.8,12.0,24.0,Китай,да,да,нет,нет
381,8490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
382,49990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,250.0,12.0,24.0,не указано,нет,да,нет,да
383,21990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,282.0,12.0,24.0,Китай,да,да,нет,нет
384,299990.0,other,проводные,10.0,25.0,не указано,полноразмерные,открытые,да,450.0,12.0,24.0,США,нет,нет,нет,нет
385,349900.0,other,проводные,20.0,20.0,other,полноразмерные,закрытые,да,500.0,12.0,24.0,США,нет,нет,нет,нет
387,25990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
388,81990.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,21.0,12.0,24.0,Китай,нет,нет,нет,нет
390,6490.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,нет,273.0,12.0,24.0,Китай,да,да,нет,нет
391,12390.0,other,беспроводные,16.0,40.0,other,вставные,закрытые,да,8.1,12.0,24.0,не указано,да,да,да,нет
392,409990.0,other,проводные,10.0,20.0,черный,полноразмерные,закрытые,да,415.0,24.0,36.0,США,нет,нет,нет,да
393,23290.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,46.0,12.0,24.0,Китай,да,да,да,нет
394,114990.0,other,проводные,15.0,25.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
396,23190.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,да,нет
397,107490.0,other,проводные,20.0,40.0,не указано,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,да,нет
398,129990.0,other,проводные,20.0,25.0,other,вставные,закрытые,да,12.0,12.0,24.0,Китай,нет,нет,нет,нет
401,25890.0,other,проводные,20.0,40.0,черный,полноразмерные,открытые,да,354.0,12.0,24.0,Китай,нет,нет,нет,нет
402,585000.0,other,проводные,5.0,70.0,черный,полноразмерные,открытые,нет,980.0,12.0,24.0,не указано,нет,нет,нет,нет
403,10390.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
406,39990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,28.0,12.0,24.0,other,нет,нет,нет,нет
408,4990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,200.0,12.0,24.0,не указано,да,нет,нет,нет
409,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
410,179990.0,other,проводные,5.0,56.0,не указано,полноразмерные,закрытые,да,375.0,12.0,24.0,не указано,нет,нет,нет,нет
411,4290.0,other,проводные,15.0,32.0,черный,полноразмерные,полуоткрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
412,990.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
415,1790.0,other,проводные,20.0,20.0,черный,накладные,полуоткрытые,нет,50.0,12.0,24.0,не указано,да,нет,нет,нет
416,19990.0,other,беспроводные,20.0,20.0,other,вставные,открытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
417,2490.0,other,беспроводные,20.0,20.0,белый,накладные,закрытые,нет,230.0,12.0,24.0,Китай,да,да,нет,да
420,289990.0,other,проводные,10.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
422,9990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,287.0,12.0,24.0,Китай,да,да,нет,да
423,299990.0,other,проводные,20.0,25.0,не указано,вставные,закрытые,да,7.0,12.0,24.0,США,нет,нет,нет,нет
424,7990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
425,469990.0,other,проводные,35.0,20.0,other,полноразмерные,закрытые,да,523.0,12.0,24.0,other,нет,нет,нет,нет
427,57990.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
428,14490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,30.0,12.0,24.0,Китай,да,да,нет,нет
429,29990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,7.8,12.0,24.0,не указано,да,да,нет,нет
430,13790.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,6.0,12.0,24.0,Китай,нет,нет,нет,нет
431,77990.0,other,беспроводные,20.0,22.0,не указано,полноразмерные,закрытые,да,285.0,12.0,24.0,не указано,да,нет,нет,нет
432,9990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,33.0,12.0,24.0,Китай,да,нет,нет,нет
433,3990.0,other,беспроводные,50.0,20.0,не указано,вставные,закрытые,да,15.0,12.0,24.0,Китай,да,да,нет,нет
434,890.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
435,32290.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
437,10490.0,other,"проводные, беспроводные",20.0,20.0,черный,полноразмерные,закрытые,нет,345.0,12.0,24.0,Китай,да,нет,нет,нет
438,9490.0,other,проводные,10.0,50.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
439,1990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,10.0,6.0,12.0,Китай,да,нет,нет,нет
440,39990.0,other,проводные,20.0,20.0,не указано,полноразмерные,закрытые,нет,318.0,12.0,24.0,не указано,нет,нет,нет,нет
441,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
443,126990.0,other,проводные,10.0,28.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
444,48190.0,other,проводные,20.0,40.0,other,полноразмерные,открытые,да,435.0,12.0,24.0,Китай,нет,нет,нет,нет
445,18560.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,275.0,12.0,24.0,other,да,нет,нет,нет
446,6390.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,17.0,12.0,24.0,не указано,нет,нет,нет,нет
447,409990.0,other,проводные,20.0,20.0,черный,полноразмерные,открытые,да,418.0,24.0,36.0,США,нет,нет,нет,да
448,1990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
449,3990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
450,4190.0,other,беспроводные,20.0,20.0,черный,вставные,открытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
451,399990.0,other,проводные,5.0,65.0,не указано,полноразмерные,закрытые,да,315.0,12.0,24.0,США,нет,нет,нет,нет
452,34465.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
454,33390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
455,49990.0,other,беспроводные,20.0,40.0,черный,вставные,закрытые,да,5.9,12.0,24.0,other,да,да,да,нет
456,5490.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,56.0,12.0,24.0,США,да,да,нет,нет
457,17290.0,other,проводные,20.0,20.0,не указано,полноразмерные,закрытые,да,280.0,12.0,24.0,Китай,нет,нет,нет,нет
459,7990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,910.0,12.0,24.0,other,да,нет,нет,нет
460,19290.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,38.0,12.0,24.0,не указано,да,нет,нет,нет
461,16990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,51.0,12.0,24.0,other,да,да,да,нет
462,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
463,28790.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
464,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
465,114990.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,404.0,12.0,24.0,США,нет,нет,нет,нет
466,15990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
467,69990.0,other,проводные,20.0,25.0,other,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
469,16990.0,other,проводные,20.0,40.0,черный,вставные,закрытые,да,14.0,12.0,24.0,не указано,нет,нет,нет,нет
471,6690.0,other,проводные,10.0,40.0,черный,полноразмерные,полуоткрытые,да,300.0,12.0,24.0,Китай,да,нет,нет,да
472,219900.0,other,проводные,5.0,28.0,other,полноразмерные,открытые,да,450.0,12.0,24.0,other,нет,нет,нет,нет
473,5490.0,other,беспроводные,20.0,20.0,черный,накладные,полуоткрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
474,29990.0,other,проводные,16.0,27.0,other,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
475,24990.0,other,проводные,15.0,35.0,не указано,полноразмерные,полуоткрытые,нет,315.0,12.0,24.0,США,нет,нет,нет,нет
476,11990.0,other,проводные,15.0,35.0,other,полноразмерные,закрытые,нет,328.0,12.0,24.0,Китай,нет,нет,нет,нет
477,69990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
478,245990.0,other,проводные,5.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
480,29990.0,other,беспроводные,10.0,40.0,черный,полноразмерные,закрытые,да,278.0,12.0,24.0,не указано,да,да,нет,да
481,7490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,42.0,12.0,24.0,Китай,да,да,нет,нет
482,52560.0,other,проводные,7.0,41.0,не указано,полноразмерные,открытые,нет,322.0,12.0,24.0,не указано,нет,нет,нет,нет
485,142990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
486,2790.0,other,проводные,10.0,25.0,черный,полноразмерные,закрытые,нет,200.0,12.0,24.0,не указано,нет,нет,нет,нет
487,88990.0,other,проводные,5.0,45.0,не указано,полноразмерные,закрытые,да,375.0,12.0,24.0,не указано,нет,нет,нет,нет
488,11390.0,other,проводные,10.0,40.0,не указано,вставные,полуоткрытые,да,7.0,12.0,24.0,не указано,нет,нет,нет,нет
490,4790.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,10.0,12.0,24.0,Китай,нет,нет,нет,нет
491,40990.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
492,19990.0,other,беспроводные,20.0,20.0,не указано,накладные,открытые,нет,32.0,12.0,24.0,Китай,да,да,нет,нет
493,4990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,195.0,12.0,24.0,other,да,нет,нет,нет
494,6590.0,other,беспроводные,20.0,40.0,черный,полноразмерные,закрытые,да,295.0,12.0,24.0,Китай,да,да,нет,да
495,189990.0,other,проводные,10.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
496,9490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,5.9,12.0,24.0,не указано,да,да,да,нет
497,4990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,4.3,12.0,24.0,Китай,да,да,нет,нет
499,28790.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
500,2990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,30.0,12.0,24.0,не указано,да,да,нет,нет
502,139990.0,other,проводные,10.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
503,10490.0,other,проводные,20.0,40.0,other,вставные,закрытые,да,7.6,12.0,24.0,Китай,нет,нет,нет,нет
504,107690.0,other,проводные,13.0,58.0,other,полноразмерные,открытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
505,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,6.0,12.0,24.0,Китай,да,нет,нет,нет
506,20990.0,other,проводные,20.0,40.0,other,вставные,полуоткрытые,да,19.0,6.0,12.0,Китай,нет,нет,нет,нет
507,139190.0,other,проводные,5.0,30.0,other,полноразмерные,открытые,да,375.0,12.0,24.0,other,нет,нет,нет,да
509,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
510,28990.0,other,беспроводные,20.0,40.0,белый,вставные,закрытые,да,8.6,12.0,24.0,Китай,да,да,да,нет
511,23990.0,other,беспроводные,20.0,19.0,черный,накладные,закрытые,нет,965.0,12.0,24.0,other,нет,нет,нет,нет
512,2790.0,other,беспроводные,160.0,16.0,не указано,накладные,открытые,нет,28.0,12.0,24.0,Китай,да,нет,нет,нет
513,75990.0,other,проводные,5.0,20.0,черный,вставные,закрытые,да,35.0,12.0,24.0,США,нет,нет,нет,нет
514,28790.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
517,146990.0,other,проводные,5.0,20.0,черный,вставные,закрытые,да,7.0,12.0,24.0,США,нет,нет,нет,нет
518,5690.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,36.0,12.0,24.0,other,да,да,нет,нет
519,8590.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,да,нет,нет
520,23990.0,other,беспроводные,5.0,21.0,белый,вставные,закрытые,да,10.0,12.0,24.0,other,да,да,нет,нет
521,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
522,99990.0,other,проводные,10.0,20.0,не указано,вставные,закрытые,да,14.0,12.0,24.0,США,нет,нет,нет,нет
523,89990.0,other,проводные,5.0,40.0,не указано,полноразмерные,открытые,да,340.0,12.0,24.0,не указано,нет,нет,нет,нет
526,26990.0,other,проводные,5.0,35.0,не указано,полноразмерные,открытые,да,290.0,12.0,24.0,не указано,нет,нет,нет,нет
527,16190.0,other,проводные,10.0,40.0,не указано,вставные,полуоткрытые,да,7.0,12.0,24.0,не указано,нет,нет,нет,нет
528,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
530,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
531,790.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
532,12490.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,60.0,12.0,24.0,Китай,да,да,да,нет
535,8590.0,other,беспроводные,20.0,20.0,не указано,накладные,открытые,нет,30.5,12.0,24.0,Китай,да,да,нет,нет
536,234990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
538,1990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
539,7290.0,other,беспроводные,16.0,40.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
540,2090.0,other,проводные,20.0,40.0,other,вставные,закрытые,нет,10.0,6.0,12.0,Китай,да,нет,нет,нет
541,22990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,7.0,12.0,24.0,Китай,да,да,нет,нет
