URL;Название;Цена;Отзывы;Бренд;Тип наушников;Минимальная воспроизводимая частота, Гц;Максимальная воспроизводимая частота, кГц;Чувствительность наушников, дБ;Тип излучателя;Разъемы;Количество драйверов;Цвет;Вид вставных наушников;Вид наушников;Диаметр мембраны, мм;Длина кабеля, м;Материал;Материал амбушюр;Оттенок;Тип акустического оформления;Форма разъема;Чехол/футляр в комплекте;Модель;Вес, г;Гарантия, мес;Срок службы, мес;Страна производства;Сопротивление, Ом;Отсоединяемый кабель;Вид беспроводных наушников;Версия Bluetooth;Мультипоинт;Поддержка кодеков;Сенсорное управление;Стандарт защиты;Разъем для зарядки;Время работы, ч;Встроенный микрофон;Время работы с зарядным футляром, ч;Голосовой помощник;Тип гарнитуры;Система активного шумоподавления;Быстрая зарядка;Беспроводная зарядка;Балансный кабель;Складная конструкция;NFC;Съемный микрофон;Тип микрофона;Чувствительность микрофона, дБ;Максимальная воспроизводимая частота микрофона, кГц;Минимальная воспроизводимая частота микрофона, Гц;Объёмный звук;Костная проводимость;Вид кабеля;Область применения;Коэффициент нелинейных искажений (КНИ), %;Максимальный уровень звукового давления, дБ;Подсветка;Диаметр звуковода, мм
https://doctorhead.ru/product/edifier_hecate_gm3_plus_blue/;Edifier HECATE GM3 Plus Blue;4490.0;0;Edifier;беспроводные;20;20;100;динамический;;1;;;;13;;пластик;пластик;blue;закрытые;;да;Edifier GM3 Plus;110;12;24;;32;;True Wireless;5.3;;SBC;да;;USB-C;5.5;да;24.5;;стерео;;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/meze_109_pro/;Meze Audio 109 Pro;93590.0;0;Meze;проводные;5;30;112;;3.5mm jack;1;;;полноразмерные;50;1.5, 3;дерево, сталь;велюр;brown;открытые;прямой;да;Meze 109 Pro;375;12;24;;40;да;;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;
https://doctorhead.ru/product/moondrop_u_2_black/;MoonDrop U-2 Black;3990.0;0;MoonDrop;проводные;20;20;;;;1;черный;с проводом;вставные;14.8;1.2;алюминий, пластик;;black;закрытые;г-образный;да;MoonDrop U-2;10;12;24;Китай;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/audeze_lcd_x_black/;Audeze LCD-X Black;171000.0;0;Audeze;проводные;10;50;103;;6.35mm jack , 3.5mm jack , XLR;1;черный;;полноразмерные;106;1.9;пластик, алюминий, кожа;кожа;black;открытые;прямой;да;Audeze LCD-X;612;12;24;США;20;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/ag_uzura_bordeaux/;AG UZURA Bordeaux;;нет;AG;беспроводные;20;20;;динамический;USB-C;1;черный;true wireless;вставные;;;пластик, силикон;силикон;black;закрытые;;да;AG UZURA;10;12;24;Япония;;;;5.2;;,;да;;;8;да;22;;;да;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/sennheiser_ie_100_pro_red/;Sennheiser IE 100 PRO Red;13890.0;0;Sennheiser;проводные;20;18;115;;;1;красный;;вставные;10;1.3;пластик;силикон, пена;red;закрытые;г-образный;да;Sennheiser IE 100 PRO;20;24;36;;20;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/music_public_kingdom_hp503_black/;Music Public Kingdom HP503 Black;3690.0;0;Music Public Kingdom;проводные;10;36;98;;3.5mm jack;1;черный;;полноразмерные;50;3;пластик, металл;синтетическая кожа;black;полуоткрытые;прямой;да;Music Public Kingdom HP503;;12;24;Китай;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/apple_airpods_pro_2nd_gen_with_magsafe_usbc_2023_rosy_melodies/;Apple AirPods Pro 2nd gen with MagSafe USB-C (2023) Rosy Melodies;34890.0;0;Apple;беспроводные;20;20;;динамический;USB-C;1;;true wireless;вставные;;;пластик;силикон;rosy melodies;закрытые;;да;Apple AirPods Pro (2nd generation) with MagSafe 2023;50;12;24;Китай;;;;5.3;да;,;да;;USB-C , QI;6;да;30;Siri;;да;да;да;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/sivga_spt1_white/;Sivga SPT1 White;3590.0;0;Sivga;беспроводные;20;20;105;динамический;USB-C;1;белый;true wireless;вставные;10;;пластик;силикон;white;закрытые;;да;Sivga SPT1;10;12;24;Китай;16;;;5.3;;;да;;;8;да;46;;;;;да;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/fiio_fh7s/;FiiO FH7s;42890.0;0;FiiO;проводные;10;40;104;;, , MMCX;5;черный;;вставные;13.6;1.2;металл;;black;полуоткрытые;прямой;да;FiiO FH7s;9;12;24;;18;да;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;;
https://doctorhead.ru/product/hidizs_seeds_25mm/;Hidizs Seeds 2.5mm;4390.0;0;Hidizs;проводные;8;42;110;;;1;черный;;вставные;10;1.2;алюминий;силикон;black;закрытые;г-образный;да;Hidizs Seeds;20;12;24;Китай;50;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/moondrop_starfield_2/;MoonDrop Starfield 2;14990.0;0;MoonDrop;проводные;12;24;122;;;1;синий;с проводом;вставные;10;1.2;акрил, пластик;силикон;blue;закрытые;прямой;да;MoonDrop Starfield 2;10;12;24;Китай;15;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/oneodio_pro_50_grey/;OneOdio Pro 50 Grey;4190.0;0;OneOdio;проводные;20;40;110;;3.5mm jack , 6.35mm jack;1;;;полноразмерные;50;1.5, 3;пластик, кожа, алюминий;синтетическая кожа;silver;закрытые;прямой;да;OneOdio Pro 50;290;12;24;Китай;32;да;;;;;;;;;да;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/aurian_canyon_universal/;Aurian Canyon Universal;64990.0;0;Aurian;проводные;20;28;107;;2-pin,;6;желтый;;вставные;;1.2;акрил;силикон;canyon;закрытые;г-образный;да;Aurian Canyon;;36;48;Россия;8.7;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/lyambda_ltw200_grey/;Lyambda LTW200 Grey;9990.0;0;Lyambda;беспроводные;20;20;103;;3.5mm jack , USB-C;1;серый;;полноразмерные;40;;синтетическая кожа, металл, пластик;синтетическая кожа;grey;закрытые;;да;Lyambda LTW200;760;12;24;Россия;32;да;полноразмерные;5.0;;, , ,;;;USB-C;35;да;;;;да;;;;да;да;;;;;;;;;;;;;
https://doctorhead.ru/product/hyperx_cloud_alpha_wireless_gaming_headset_black__red/;HyperX Cloud Alpha Wireless Black & Red;23890.0;0;HyperX;беспроводные;15;21;103;динамический;;1;;;;50;0.5;алюминий;синтетическая кожа;black red;закрытые;;;HyperX Cloud Alpha Wireless;335;12;24;;62;;полноразмерные;;;;;;;300;да;;;стерео;;;;;;;да;электретный;-15;7.2;50;7.1 software;;;;;;;
https://doctorhead.ru/product/apple_airpods_pro_2nd_gen_with_magsafe_usbc_2023_pink_camo_matte/;Apple AirPods Pro 2nd gen with MagSafe USB-C (2023) Pink Camo Matte;33390.0;0;Apple;беспроводные;20;20;;динамический;USB-C;1;;true wireless;вставные;;;пластик;силикон;pink camo matte;закрытые;;да;Apple AirPods Pro (2nd generation) with MagSafe 2023;50;12;24;Китай;;;;5.3;да;,;да;;USB-C , QI;6;да;30;Siri;;да;да;да;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/final_audio_ze3000_sv_black/;Final Audio ZE3000 SV Black;;нет;Final Audio;беспроводные;;;;динамический;USB-C;1;черный;true wireless;вставные;10;;пластик;силикон;black;закрытые;;да;Final Audio ZE3000;;12;24;Япония;;;;5.3;да;, ,;да;;;7;да;28;;стерео;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/akg_k701/;AKG K701;24890.0;0;AKG;проводные;10;39.8;105;;3.5mm jack;1;;;полноразмерные;50;3;пластик, металл;велюр;silver;открытые;прямой;;AKG K701;235;12;24;;62;;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;;
https://doctorhead.ru/product/sennheiser_momentum_true_wireless_4_white_silver/;Sennheiser Momentum True Wireless 4 White Silver;29990.0;0;Sennheiser;беспроводные;;;;динамический;;1;;true wireless;вставные;;;пластик;силикон;white silver;закрытые;;да;Sennheiser MOMENTUM True Wireless 4 (MTW4);;12;24;Китай;;;;5.4;да;AptX Lossless, , ,;да;;, QI;7.5;да;30;;;да;да;да;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/moondrop_illumination_gold/;MoonDrop illumination Gold;105190.0;0;MoonDrop;проводные;10;50;124;;, ,;1;золотой;;вставные;11;1.2;титан;силикон;gold;закрытые;прямой;да;LEIYIN AUDIO ILLUMINATION;;12;24;Китай;25;да;;;;;;;;;;;;стерео;;;;да;;;;;;;;;;;;;;;
https://doctorhead.ru/product/jbl_tune_510bt_blue/;JBL Tune 510BT Blue;4190.0;0;JBL;беспроводные;20;20;103;динамический;;1;синий;;накладные;32;;пластик;синтетическая кожа;blue;закрытые;;;JBL Tune 510BT;160;12;24;;32;;накладные;5.0;да;,;;;;40;да;;Siri , Google Assistant;;;да;;;да;;;;;;;;;;;;;;
https://doctorhead.ru/product/fir_audio_xenon_6_custom/;FiR Audio Xenon 6 Custom;508690.0;0;Fir Audio;;20;20;;гибридный;RCX,;6;разноцветный;;;10;1.2;акрил;;;закрытые;;да;;;36;48;США;28;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/bowers_wilkins_px_8_mclaren_edition/;Bowers & Wilkins Px8 Mclaren Edition;109990.0;0;Bowers & Wilkins;беспроводные;10;30;;;3.5mm jack , USB-C;1;;;полноразмерные;40;1.2;алюминий, пластик;кожа;black;закрытые;;да;Bowers & Wilkins PX 8 McLaren Edition;320;12;24;;;да;полноразмерные;5.2;;, , , ,;;;USB-C;30;да;;;;да;да;;;да;;;;;;;;;;;;;;
https://doctorhead.ru/product/xiaomi_openwear_stereo_sandstone_beige/;Xiaomi OpenWear Stereo Sandstone Beige;13990.0;0;Xiaomi;беспроводные;20;20;;динамический;USB-C;1;бежевый;;накладные;10;;пластик;;beige;открытые;;да;Xiaomi OpenWear Stereo;35;12;24;Китай;;;накладные;5.3;;, ,;да;IP54;;7.5;да;;;;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/dan_clark_audio_aeon2_open_black_red/;Dan Clark Audio AEON 2 Open Black Red;89990.0;0;Dan Clark Audio;проводные;20;20;92;;Custom plug, 3.5mm jack;1;;;полноразмерные;;1.8;титан, алюминий, углеволокно;синтетическая кожа;black red;открытые;прямой;да;Dan Clark Audio AEON 2 Open;328;24;36;США;13;да;;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;
https://doctorhead.ru/product/fiio_fd11_silver/;FiiO FD11 Silver;4290.0;0;FiiO;проводные;20;20;111;;, 2-pin;1;серебряный;с проводом;вставные;10;1.2;цинк;силикон;silver;закрытые;г-образный;;FiiO FD11;10;12;24;;24;да;;;;;;;;;;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/simgot_ew200_dsp_silver/;SIMGOT EW200 DSP Silver;5290.0;0;SIMGOT;проводные;10;50;126;;;1;серебряный;с проводом;вставные;10;1.2;алюминий;силикон;silver;закрытые;прямой;да;SIMGOT EW200 DSP;7;12;24;Китай;16;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/zmf_aeolus_aluminum_black/;ZMF Aeolus Aluminum Black;159990.0;0;ZMF;проводные;10;25;97;;6.35mm jack;1;;;полноразмерные;;1.5;дерево, алюминий;;black;открытые;прямой;да;ZMF Aeolus;445;12;24;США;300;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/audeze_maxwell_for_playstation/;Audeze Maxwell for PlayStation;32990.0;0;Audeze;беспроводные;10;50;;изодинамический;USB-C , 3.5mm jack;1;;;полноразмерные;90;1.2;пластик, алюминий;синтетическая кожа;black;закрытые;прямой;;Audeze Maxwell for PlayStation;490;12;24;;;да;полноразмерные;5.3;;, ,;;;USB-C;80;да;;;стерео;;да;;;;;да;;;;;7.1 software;;;;;;;
https://doctorhead.ru/product/ugreen_hitune_max3_black/;Ugreen HiTune Max3 Black;6490.0;0;Ugreen;беспроводные;20;20;;динамический;3.5mm jack , USB-C;1;черный;;полноразмерные;40;1.5;пластик;синтетическая кожа;black;закрытые;прямой;да;Ugreen HiTune Max3;;12;24;;;да;полноразмерные;5.0;;,;;;USB-C;60;да;;;;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/takstar_ml850/;TAKSTAR ML850;4690.0;0;TAKSTAR;беспроводные;20;20;101;динамический;USB-C , 3.5mm jack;1;черный;;полноразмерные;40;;пластик;синтетическая кожа;black;закрытые;;да;TAKSTAR ML850;250;12;24;;32;;полноразмерные;4.2;да;, ,;;;USB-C;25;да;;;;;да;;;;да;;;;;;;;;;;;;
https://doctorhead.ru/product/64_audio_aspire_3/;64 Audio Aspire 3;74990.0;0;64 Audio;проводные;20;18;107;;, IPX;1;серый;;вставные;;1.2;пластик, сталь;пена, силикон;gray;закрытые;г-образный;да;64 Audio Aspire 3;;12;24;США;12;да;;;;;;;;;;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/anker_soundcore_p40i_oat_white/;Anker Soundcore P40i Oat White;5990.0;0;Anker;беспроводные;20;20;120;динамический;USB-C;1;белый;true wireless;вставные;11;;пластик;силикон;white;;;да;Anker Soundcore P40i;12;12;24;Китай;16;;;5.3;да;,;да;;USB-C;12;да;;;;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/noble_audio_fokus_triumph/;Noble Audio FoKus Triumph;34990.0;0;Noble Audio;беспроводные;20;40;;гибридный;USB-C;2;черный;true wireless;вставные;6.5;;полимер;силикон;black;закрытые;;да;Noble Audio FoKus Triumph;;12;24;Китай;;;;5.3;да;, , , , , LC3;да;;;7.5;да;30;Google Assistant;стерео;;да;да;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/sivga_nightingale_black/;Sivga Nightingale Black;20390.0;0;Sivga;проводные;20;40;100;;, 2-pin;1;черный;с проводом;вставные;14.5;1.2;дерево, алюминий;силикон;black;закрытые;прямой;да;Sivga Nightingale;35;12;24;Китай;16;да;;;;;;;;;;;;стерео;;;;да;;;;;;;;;;;;;;;
https://doctorhead.ru/product/suunto_wing_lime/;SUUNTO Wing Lime;22400.0;0;SUUNTO;беспроводные;20;20;117;;Custom plug;;черный;;накладные;;;пластик;пластик;black;открытые;;;Suunto Wing;33;12;24;Китай;6;;накладные;5.0;да;;;IP67;Custom plug;10;да;;;;;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/ritmix_rh_805bth_tws_black/;RITMIX RH-805BTH TWS Black;3700.0;0;Ritmix;беспроводные;20;20;105;динамический;;1;черный;true wireless;вставные;6;;пластик;силикон;black;закрытые;;да;RITMIX RH-805BTH TWS;102;12;24;;16;;;4.1;;;;;;2;да;;;;;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/aurian_forest_universal/;Aurian Forest Universal;24990.0;0;Aurian;проводные;20;23;124;;2-pin,;2;зеленый;;вставные;;1.2;акрил;силикон;forest;закрытые;г-образный;да;Aurian Forest;;36;48;Россия;45.9;да;;;;;;;;;;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/bowers_wilkins_pi6_cloud_grey/;Bowers & Wilkins Pi6 Cloud Grey;29990.0;0;Bowers & Wilkins;беспроводные;20;20;;динамический;USB-C;1;серый;true wireless;вставные;12;;пластик;силикон;cloud grey;закрытые;;да;Bowers & Wilkins Pi6;7;12;24;Великобритания;;;;5.4;да;, , ,;да;;USB-C;8;да;16;;;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/bowers_wilkins_pi8_dove_white/;Bowers & Wilkins Pi8 Dove White;49990.0;0;Bowers & Wilkins;беспроводные;20;20;;динамический;USB-C;1;бежевый;true wireless;вставные;12;;пластик;силикон;beige gold;закрытые;;да;Bowers & Wilkins Pi8;7;12;24;Великобритания;;;;5.4;да;, AptX Lossless, ,;да;;USB-C;6.5;да;13.5;;;да;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/music_public_kingdom_iem220_transparent_black_dark_grey/;Music Public Kingdom IEM220 Transparent Black Dark Grey;1590.0;0;Music Public Kingdom;проводные;20;20;115;;2-pin,;2;серый;;вставные;10, 7;1.2;пластик;силикон;grey;закрытые;г-образный;;Music Public Kingdom IEM220;;12;24;Китай;20;да;;;;;;;;;;;;стерео;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/64audio_u18s/;64 Audio U18s;289990.0;0;64 Audio;проводные;10;20;111;;, 2-pin;18;;;вставные;;1.2;алюминий;силикон;black;закрытые;г-образный;да;64 Audio U18s;;12;24;США;9;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/beyerdynamic_dt_880_250_ohm/;Beyerdynamic DT 880 / 250 ohm;26990.0;0;Beyerdynamic;проводные;5;35;96;;,;1;;;полноразмерные;;3;пластик, металл;велюр;chrome;полуоткрытые;прямой;да;Beyerdynamic DT 880;290;12;24;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/raal_requisite_sr1a/;RAAL-requisite SR1a;349900.0;0;RAAL-Requisite;проводные;33;30;91;;XLR;1;;;полноразмерные;;;металл, кожа, углеволокно;поролон;black;открытые;прямой;да;RAAL-Requisite SR1a;425;60;72;Канада;0.2;да;;;;;;;;;;;;;;;;да;;;;;;;;;;;;;;;
https://doctorhead.ru/product/eksa_h1_black/;EKSA H1 Black;5490.0;0;EKSA;беспроводные;20;20;113;динамический;USB-C;1;черный;;;40;;пластик;синтетическая кожа;black;полуоткрытые;;;EKSA H1;155;12;24;Китай;32;;;5.0;да;SBC;;;USB-C;30;;;;;;;;;;;;динамический;;;;;;;;;;;
https://doctorhead.ru/product/suunto_wing_lava_red/;SUUNTO Wing Lava Red;23800.0;0;SUUNTO;беспроводные;20;20;117;;Custom plug;;;;накладные;;;пластик;;lava red;открытые;;;Suunto Wing;33;12;24;Китай;6;;накладные;5.0;да;;;IP67;Custom plug;10;да;;;;;да;;;;;;;;;;;;;;;;;
https://doctorhead.ru/product/kinera_freya_20_ddhifi_tc35pro_e2_lightning_komplekt/;Kinera Freya 2.0 + ddHiFi TC35Pro E2 Lightning;36430.0;0;Kinera;проводные;20;20;105;;2-pin, ,;4;разноцветный;;вставные;7;1.2;смола;силикон;clear;закрытые;прямой;да;Kinera Freya 2.0;;12;24;Китай;20;да;;;;;;;;;;;;стерео;;;;да;;;;;;;;;;;;;;;
https://doctorhead.ru/product/apple_airpods_2_mystique_matte/;Apple AirPods 2 Metallic Blue Matte;14990.0;0;Apple;беспроводные;20;20;;динамический;;1;синий;true wireless;вставные;;;пластик;пластик;mystique matte;закрытые;;да;Apple AirPods 2;;12;24;;;;;5.0;;;да;;Lightning;5;да;24;;;;да;;;;;;;;;;;;;;;;;
